NORAD ID: 25258	 Latitude: 0.8842756385387849 deg	 Longitude: 105.2162242425597 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 25315	 Latitude: -2.467892161374582 deg	 Longitude: 72.05466637737422 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 25639	 Latitude: -11.870936613203845 deg	 Longitude: -1.197396965505712 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 25642	 Latitude: -1.8638597902624647 deg	 Longitude: 73.58129103130248 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 25924	 Latitude: 0.02086269671599904 deg	 Longitude: 159.01149073315588 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 25967	 Latitude: -7.705537804450327 deg	 Longitude: -23.301075369809816 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 26107	 Latitude: -4.47334967315076 deg	 Longitude: 105.24113174106813 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 26356	 Latitude: 12.496790553302812 deg	 Longitude: -164.84103025471148 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 26372	 Latitude: 11.854213707230905 deg	 Longitude: 144.3499883271276 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 26394	 Latitude: -1.417488646465337 deg	 Longitude: 80.05191506582912 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 26477	 Latitude: -1.5020825431396438 deg	 Longitude: 80.25788076977824 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 26554	 Latitude: 0.33172212726128303 deg	 Longitude: 175.98789081302363 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 26575	 Latitude: 3.830749236271671 deg	 Longitude: 134.0055392176951 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 26580	 Latitude: 0.06608254666514768 deg	 Longitude: -135.0269869248401 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 26766	 Latitude: -7.880572704420715 deg	 Longitude: 66.22437563361753 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 26880	 Latitude: -7.350113239460589 deg	 Longitude: -49.76354790660032 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 26892	 Latitude: -9.740295512532635 deg	 Longitude: 44.43423250196424 deg	 At 2025-07-06 00:00:00+00:00 UTC 
